Country,Population_2022,Population_2023,Change,Region,UN Statistical Subregion
Argentina,"45,510,318","45,773,884",+0.58%,Americas,South America
Algeria,"44,903,225","45,606,481",+1.57%,Africa,Northern Africa
Iraq,"44,496,122","45,504,560",+2.27%,Asia,Western Asia
Afghanistan,"41,128,771","42,239,854",+2.70%,Asia,Southern Asia
Poland,"39,857,146","41,026,068",+2.93%,Europe,Eastern Europe
Canada,"38,454,327","38,781,292",+0.85%,Americas,Northern America
Morocco,"37,457,971","37,840,044",+1.02%,Africa,Northern Africa
Saudi Arabia,"36,408,820","36,947,025",+1.48%,Asia,Western Asia
Ukraine,"39,701,739","36,744,634",−7.45%,Europe,Eastern Europe
Angola,"35,588,987","36,684,203",+3.08%,Africa,Middle Africa
Uzbekistan,"34,627,653","35,163,944",+1.55%,Asia,Central Asia
Yemen,"33,696,614","34,449,825",+2.24%,Asia,Western Asia
Peru,"34,049,589","34,352,719",+0.89%,Americas,South America
Malaysia,"33,938,222","34,308,525",+1.09%,Asia,South-eastern Asia
Ghana,"33,475,870","34,121,985",+1.93%,Africa,Western Africa
Mozambique,"32,969,519","33,897,354",+2.81%,Africa,Eastern Africa
Nepal,"30,547,580","30,896,590",+1.14%,Asia,Southern Asia
Madagascar,"29,611,714","30,325,732",+2.41%,Africa,Eastern Africa
Ivory Coast,"28,160,543","28,873,034",+2.53%,Africa,Western Africa
Venezuela,"28,301,696","28,838,499",+1.90%,Americas,South America
Cameroon,"27,914,537","28,647,293",+2.62%,Africa,Middle Africa
Niger,"26,207,977","27,202,843",+3.80%,Africa,Western Africa
Australia,"26,177,414","26,439,112",+1.00%,Oceania,Australia and New Zealand
North Korea,"26,069,417","26,160,822",+0.35%,Asia,Eastern Asia
Taiwan,"23,893,395","23,923,277",+0.13%,Asia,Eastern Asia
Mali,"22,593,591","23,293,699",+3.10%,Africa,Western Africa
Burkina Faso,"22,673,762","23,251,485",+2.55%,Africa,Western Africa
Syria,"22,125,249","23,227,014",+4.98%,Asia,Western Asia
Sri Lanka,"21,832,143","21,893,579",+0.28%,Asia,Southern Asia
Malawi,"20,405,317","20,931,751",+2.58%,Africa,Eastern Africa
Zambia,"20,017,675","20,569,738",+2.76%,Africa,Eastern Africa
Romania,"19,659,267","19,892,812",+1.19%,Europe,Eastern Europe
Chile,"19,603,733","19,629,590",+0.13%,Americas,South America
Kazakhstan,"19,397,998","19,606,634",+1.08%,Asia,Central Asia
Chad,"17,723,315","18,278,568",+3.13%,Africa,Middle Africa
Ecuador,"18,001,000","18,190,484",+1.05%,Americas,South America
Somalia,"17,597,511","18,143,379",+3.10%,Africa,Eastern Africa
Guatemala,"17,843,908","18,092,026",+1.39%,Americas,Central America
Senegal,"17,316,449","17,763,163",+2.58%,Africa,Western Africa
Netherlands,"17,564,014","17,618,299",+0.31%,Europe,Western Europe
Cambodia,"16,767,842","16,944,826",+1.06%,Asia,South-eastern Asia
Zimbabwe,"16,320,537","16,665,409",+2.11%,Africa,Eastern Africa
Guinea,"13,859,341","14,190,612",+2.39%,Africa,Western Africa
Rwanda,"13,776,698","14,094,683",+2.31%,Africa,Eastern Africa
Benin,"13,352,864","13,712,828",+2.70%,Africa,Western Africa
Burundi,"12,889,577","13,238,559",+2.71%,Africa,Eastern Africa
Tunisia,"12,356,117","12,458,223",+0.83%,Africa,Northern Africa
Bolivia,"12,224,110","12,388,571",+1.35%,Americas,South America
Haiti,"11,584,996","11,724,764",+1.21%,Americas,Caribbean
Belgium,"11,655,930","11,686,140",+0.26%,Europe,Western Europe
Jordan,"11,285,869","11,337,053",+0.45%,Asia,Western Asia
Dominican Republic,"11,228,821","11,332,973",+0.93%,Americas,Caribbean
Cuba,"11,212,191","11,194,449",−0.16%,Americas,Caribbean
South Sudan,"10,913,164","11,088,796",+1.61%,Africa,Eastern Africa
Sweden,"10,549,347","10,612,086",+0.59%,Europe,Northern Europe
Honduras,"10,432,860","10,593,798",+1.54%,Americas,Central America
Czech Republic,"10,493,986","10,495,295",+0.01%,Europe,Eastern Europe
Azerbaijan,"10,358,074","10,412,652",+0.53%,Asia,Western Asia
Greece,"10,384,971","10,341,277",−0.42%,Europe,Southern Europe
Papua New Guinea,"10,142,619","10,329,931",+1.85%,Oceania,Melanesia
Portugal,"10,270,865","10,247,605",−0.23%,Europe,Southern Europe
Tajikistan,"9,952,787","10,143,543",+1.92%,Asia,Central Asia
Hungary,"9,967,308","9,604,000",−3.64%,Europe,Eastern Europe
United Arab Emirates,"9,441,129","9,516,871",+0.80%,Asia,Western Asia
Belarus,"9,534,955","9,498,238",−0.39%,Europe,Eastern Europe
Israel,"9,038,309","9,174,520",+1.51%,Asia,Western Asia
Togo,"8,848,699","9,053,799",+2.32%,Africa,Western Africa
Austria,"8,939,617","8,958,961",+0.22%,Europe,Western Europe
Switzerland,"8,740,472","8,796,669",+0.64%,Europe,Western Europe
Sierra Leone,"8,605,718","8,791,092",+2.15%,Africa,Western Africa
Laos,"7,529,475","7,633,779",+1.39%,Asia,South-eastern Asia
Hong Kong,"7,488,865","7,491,609",+0.04%,Asia,Eastern Asia
Serbia,"7,221,366","7,149,077",−1.00%,Europe,Southern Europe
Nicaragua,"6,948,392","7,046,311",+1.41%,Americas,Central America
Libya,"6,812,341","6,888,388",+1.12%,Africa,Northern Africa
Paraguay,"6,780,744","6,861,524",+1.19%,Americas,South America
Kyrgyzstan,"6,630,623","6,735,348",+1.58%,Asia,Central Asia
Bulgaria,"6,781,953","6,687,717",−1.39%,Europe,Eastern Europe
Turkmenistan,"6,430,771","6,516,100",+1.33%,Asia,Central Asia
El Salvador,"6,336,392","6,364,943",+0.45%,Americas,Central America
Congo,"5,970,424","6,106,869",+2.29%,Africa,Middle Africa
Singapore,"5,975,689","6,014,723",+0.65%,Asia,South-eastern Asia
Denmark,"5,882,262","5,910,913",+0.49%,Europe,Northern Europe
Slovakia,"5,643,453","5,795,199",+2.69%,Europe,Eastern Europe
Central African Republic,"5,579,144","5,742,316",+2.92%,Africa,Middle Africa
Finland,"5,540,746","5,545,475",+0.09%,Europe,Northern Europe
Norway,"5,434,319","5,474,360",+0.74%,Europe,Northern Europe
Liberia,"5,302,681","5,418,377",+2.18%,Africa,Western Africa
Palestine,"5,250,072","5,371,230",+2.31%,Asia,Western Asia
Lebanon,"5,489,740","5,353,930",−2.47%,Asia,Western Asia
New Zealand,"5,185,289","5,228,100",+0.83%,Oceania,Australia and New Zealand
Costa Rica,"5,180,829","5,212,173",+0.60%,Americas,Central America
Ireland,"5,023,109","5,056,935",+0.67%,Europe,Northern Europe
Mauritania,"4,736,139","4,862,989",+2.68%,Africa,Western Africa
Oman,"4,576,298","4,644,384",+1.49%,Asia,Western Asia
Panama,"4,408,581","4,468,087",+1.35%,Americas,Central America
Kuwait,"4,268,873","4,310,108",+0.97%,Asia,Western Asia
Croatia,"4,030,358","4,008,617",−0.54%,Europe,Southern Europe
Eritrea,"3,684,032","3,748,902",+1.76%,Africa,Eastern Africa
Georgia,"3,744,386","3,728,282",−0.43%,Asia,Western Asia
Mongolia,"3,398,366","3,447,157",+1.44%,Asia,Eastern Asia
Moldova,"3,272,996","3,435,931",+4.98%,Europe,Eastern Europe
Uruguay,"3,422,794","3,423,109",+0.01%,Americas,South America
Puerto Rico,"3,252,407","3,260,314",+0.24%,Americas,Caribbean
Bosnia and Herzegovina,"3,233,527","3,210,848",−0.70%,Europe,Southern Europe
Albania,"2,842,321","2,832,439",−0.35%,Europe,Southern Europe
Jamaica,"2,827,377","2,825,544",−0.06%,Americas,Caribbean
Armenia,"2,780,469","2,777,971",−0.09%,Asia,Western Asia
Gambia,"2,705,992","2,773,168",+2.48%,Africa,Western Africa
Lithuania,"2,750,055","2,718,352",−1.15%,Europe,Northern Europe
Qatar,"2,695,122","2,716,391",+0.79%,Asia,Western Asia
Botswana,"2,630,296","2,675,353",+1.71%,Africa,Southern Africa
Namibia,"2,567,013","2,604,172",+1.45%,Africa,Southern Africa
Gabon,"2,388,993","2,436,567",+1.99%,Africa,Middle Africa
Lesotho,"2,305,826","2,330,318",+1.06%,Africa,Southern Africa
Guinea-Bissau,"2,105,566","2,150,842",+2.15%,Africa,Western Africa
Slovenia,"2,119,844","2,119,675",−0.01%,Europe,Southern Europe
North Macedonia,"2,093,599","2,085,679",−0.38%,Europe,Southern Europe
Latvia,"1,850,651","1,830,212",−1.10%,Europe,Northern Europe
Equatorial Guinea,"1,674,908","1,714,672",+2.37%,Africa,Middle Africa
Kosovo,"1,659,714","1,663,595",+0.23%,Europe,Southern Europe
Trinidad and Tobago,"1,531,045","1,534,937",+0.25%,Americas,Caribbean
Bahrain,"1,472,233","1,485,510",+0.90%,Asia,Western Asia
East Timor,"1,341,296","1,360,596",+1.44%,Asia,South-eastern Asia
Estonia,"1,326,062","1,322,766",−0.25%,Europe,Northern Europe
Mauritius,"1,299,469","1,300,557",+0.08%,Africa,Eastern Africa
Cyprus,"1,251,489","1,260,138",+0.69%,Asia,Western Asia
Eswatini,"1,201,671","1,210,822",+0.76%,Africa,Southern Africa
Djibouti,"1,120,849","1,136,455",+1.39%,Africa,Eastern Africa
Réunion,"974,052","981,796",+0.80%,Africa,Eastern Africa
Fiji,"929,766","936,376",+0.71%,Oceania,Melanesia
Comoros,"836,774","852,075",+1.83%,Africa,Eastern Africa
Guyana,"808,726","813,834",+0.63%,Americas,South America
Bhutan,"782,455","787,425",+0.64%,Asia,Southern Asia
Solomon Islands,"724,273","740,425",+2.23%,Oceania,Melanesia
Macau,"695,169","704,150",+1.29%,Asia,Eastern Asia
Luxembourg,"647,599","654,768",+1.11%,Europe,Western Europe
Montenegro,"627,083","626,485",−0.10%,Europe,Southern Europe
Suriname,"618,041","623,237",+0.84%,Americas,South America
Cape Verde,"593,150","598,682",+0.93%,Africa,Western Africa
['Western Sahara'],"575,986","587,259",+1.96%,Africa,Northern Africa
Malta,"533,286","535,065",+0.33%,Europe,Southern Europe
Maldives,"521,021","523,787",+0.53%,Asia,Southern Asia
Brunei,"449,002","452,524",+0.78%,Asia,South-eastern Asia
Bahamas,"409,984","412,624",+0.64%,Americas,Caribbean
Belize,"405,273","410,825",+1.37%,Americas,Central America
Guadeloupe,"395,753","395,839",+0.02%,Americas,Caribbean
Iceland,"372,899","375,319",+0.65%,Europe,Northern Europe
Martinique,"367,507","366,981",−0.14%,Americas,Caribbean
Mayotte,"326,101","335,995",+3.03%,Africa,Eastern Africa
Vanuatu,"326,741","334,506",+2.38%,Oceania,Melanesia
French Guiana,"304,557","312,155",+2.49%,Americas,South America
French Polynesia,"306,279","308,872",+0.85%,Oceania,Polynesia
New Caledonia,"289,951","292,991",+1.05%,Oceania,Melanesia
Barbados,"281,635","281,996",+0.13%,Americas,Caribbean
São Tomé and Príncipe,"227,380","231,856",+1.97%,Africa,Middle Africa
Samoa,"222,382","225,681",+1.48%,Oceania,Polynesia
Curaçao,"191,164","192,077",+0.48%,Americas,Caribbean
Saint Lucia,"179,858","180,251",+0.22%,Americas,Caribbean
Guam,"171,775","172,952",+0.69%,Oceania,Micronesia
Kiribati,"131,232","133,515",+1.74%,Oceania,Micronesia
Grenada,"125,438","126,184",+0.59%,Americas,Caribbean
Micronesia,"114,164","115,224",+0.93%,Oceania,Micronesia
Jersey,"110,779","111,803",+0.92%,Europe,Northern Europe
Tonga,"106,858","107,773",+0.86%,Oceania,Polynesia
Seychelles,"107,119","107,660",+0.51%,Africa,Eastern Africa
Aruba,"106,445","106,277",−0.16%,Americas,Caribbean
Saint Vincent and the Grenadines,"103,948","103,699",−0.24%,Americas,Caribbean
U.S. Virgin Islands,"99,465","98,750",−0.72%,Americas,Caribbean
Antigua and Barbuda,"93,763","94,298",+0.57%,Americas,Caribbean
Isle of Man,"84,520","84,710",+0.22%,Europe,Northern Europe
Andorra,"79,824","80,088",+0.33%,Europe,Southern Europe
Dominica,"72,738","73,040",+0.42%,Americas,Caribbean
Cayman Islands,"68,706","69,310",+0.88%,Americas,Caribbean
Bermuda,"64,184","64,069",−0.18%,Americas,Northern America
['Guernsey'],"63,302","63,544",+0.38%,Europe,Northern Europe
Greenland,"56,466","56,643",+0.31%,Americas,Northern America
Faroe Islands,"53,090","53,270",+0.34%,Europe,Northern Europe
Northern Mariana Islands,"49,551","49,796",+0.49%,Oceania,Micronesia
Saint Kitts and Nevis,"47,658","47,755",+0.20%,Americas,Caribbean
Turks and Caicos Islands,"45,703","46,062",+0.79%,Americas,Caribbean
Sint Maarten,"44,175","44,222",+0.11%,Americas,Caribbean
American Samoa,"44,273","43,915",−0.81%,Oceania,Polynesia
Marshall Islands,"41,569","41,996",+1.03%,Oceania,Micronesia
Liechtenstein,"39,327","39,585",+0.66%,Europe,Western Europe
Monaco,"36,469","36,298",−0.47%,Europe,Western Europe
San Marino,"33,661","33,642",−0.06%,Europe,Southern Europe
Gibraltar,"32,649","32,688",+0.12%,Europe,Southern Europe
['Saint Martin'],"31,791","32,077",+0.90%,Americas,Caribbean
British Virgin Islands,"31,305","31,538",+0.74%,Americas,Caribbean
Caribbean Netherlands,"27,027","27,148",+0.45%,Americas,Caribbean
Palau,"18,055","18,058",+0.02%,Oceania,Micronesia
Cook Islands,"17,011","17,044",+0.19%,Oceania,Polynesia
Anguilla,"15,857","15,900",+0.27%,Americas,Caribbean
Nauru,"12,668","12,780",+0.88%,Oceania,Micronesia
Wallis and Futuna,"11,573","11,502",−0.61%,Oceania,Polynesia
Tuvalu,"11,312","11,396",+0.74%,Oceania,Polynesia
Saint Barthélemy,"10,967","10,994",+0.25%,Americas,Caribbean
Saint Pierre and Miquelon,"5,862","5,840",−0.38%,Americas,Northern America
"Saint Helena, Ascension and Tristan da Cunha","5,374","5,314",−1.12%,Africa,Western Africa
Montserrat,"4,390","4,387",−0.07%,Americas,Caribbean
Falkland Islands,"3,780","3,791",+0.29%,Americas,South America
Niue,"1,934","1,935",+0.05%,Oceania,Polynesia
Tokelau,"1,871","1,893",+1.18%,Oceania,Polynesia
Vatican City,510,518,No,Europe,Southern Europe
Pitcairn Islands,55,45,No,Oceania,Polynesia
